"Kernel","Metric Name","Metric Description","Min","Max","Avg"
"row_sums__one_block_per_chunked_rows__write_buffer","shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","inst_fp_32","FP Instructions(Single)",276840448,276840448,276840448
"row_sums__one_block_per_chunked_rows__write_buffer","inst_fp_64","FP Instructions(Double)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_integer","Integer Instructions",3045803008,3045803008,3045803008
"row_sums__one_block_per_chunked_rows__write_buffer","inst_bit_convert","Bit-Convert Instructions",65536,65536,65536
"row_sums__one_block_per_chunked_rows__write_buffer","inst_control","Control-Flow Instructions",889487360,889487360,889487360
"row_sums__one_block_per_chunked_rows__write_buffer","inst_compute_ld_st","Load/Store Instructions",394314816,394314816,394314816
"row_sums__one_block_per_chunked_rows__write_buffer","inst_misc","Misc Instructions",117751808,117751808,117751808
"row_sums__one_block_per_chunked_rows__write_buffer","inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","issue_slots","Issue Slots",139053343,139053764,139053625
"row_sums__one_block_per_chunked_rows__write_buffer","cf_issued","Issued Control-Flow Instructions",37769216,37769216,37769216
"row_sums__one_block_per_chunked_rows__write_buffer","cf_executed","Executed Control-Flow Instructions",37769216,37769216,37769216
"row_sums__one_block_per_chunked_rows__write_buffer","ldst_issued","Issued Load/Store Instructions",47471616,47471616,47471616
"row_sums__one_block_per_chunked_rows__write_buffer","ldst_executed","Executed Load/Store Instructions",24926208,24926208,24926208
"row_sums__one_block_per_chunked_rows__write_buffer","atomic_transactions","Atomic Transactions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_global_loads","Warp level instructions for global loads",8388608,8388608,8388608
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_shared_loads","Warp level instructions for shared loads",5522432,5522432,5522432
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_global_stores","Warp level instructions for global stores",1024,1024,1024
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_shared_stores","Warp level instructions for shared stores",3147776,3147776,3147776
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_global_reductions","Warp level instructions for global reductions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_global_load_bytes","Bytes read from L2 for misses in Unified Cache for global loads",1073741824,1073741824,1073741824
"row_sums__one_block_per_chunked_rows__write_buffer","l2_local_load_bytes","Bytes read from L2 for misses in Unified Cache for local loads",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_surface_load_bytes","Bytes read from L2 for misses in Unified Cache for surface loads",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","dram_read_bytes","Total bytes read from DRAM to L2 cache",1078445760,1080863616,1079919712
"row_sums__one_block_per_chunked_rows__write_buffer","dram_write_bytes","Total bytes written from L2 cache to DRAM",131264,556672,273162
"row_sums__one_block_per_chunked_rows__write_buffer","l2_local_global_store_bytes","Bytes written to L2 from Unified Cache for local and global stores.",65536,65536,65536
"row_sums__one_block_per_chunked_rows__write_buffer","l2_global_reduction_bytes","Bytes written to L2 from Unified cache for global reductions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_global_atomic_store_bytes","Bytes written to L2 from Unified cache for global atomics",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_surface_store_bytes","Bytes written to L2 from Unified Cache for surface stores.",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_surface_reduction_bytes","Bytes written to L2 from Unified Cache for surface reductions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","l2_surface_atomic_store_bytes","Bytes transferred between Unified Cache and L2 for surface atomics",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","global_load_requests","Total number of global load requests from Multiprocessor",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows__write_buffer","local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","global_store_requests","Total number of global store requests from Multiprocessor",2048,2048,2048
"row_sums__one_block_per_chunked_rows__write_buffer","local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","global_reduction_requests","Total number of global reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.023844%,3.039903%,3.032006%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.488075%,7.518200%,7.502661%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_memory_dependency","Issue Stall Reasons (Data Request)",76.415387%,76.610943%,76.501200%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_sync","Issue Stall Reasons (Synchronization)",6.889294%,7.063107%,6.979191%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_other","Issue Stall Reasons (Other)",4.858047%,4.890995%,4.876430%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.005880%,0.010786%,0.006887%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.422935%,0.424194%,0.423650%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.000012%,0.000012%,0.000012%
"row_sums__one_block_per_chunked_rows__write_buffer","stall_not_selected","Issue Stall Reasons (Not Selected)",0.675793%,0.679293%,0.677963%
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_read_transactions","System Memory Read Transactions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_write_transactions","System Memory Write Transactions",5,5,5
"row_sums__one_block_per_chunked_rows__write_buffer","l2_read_transactions","L2 Read Transactions",33764099,33822347,33791388
"row_sums__one_block_per_chunked_rows__write_buffer","l2_write_transactions","L2 Write Transactions",2054,2054,2054
"row_sums__one_block_per_chunked_rows__write_buffer","ecc_transactions","ECC Transactions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_read_throughput","L2 Throughput (Texture Reads)",158.004217GB/s,158.176291GB/s,158.085130GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_write_throughput","L2 Throughput (Texture Writes)",9.875263MB/s,9.886018MB/s,9.880320MB/s
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_read_transactions","L2 Transactions (Texture Reads)",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_write_transactions","L2 Transactions (Texture Writes)",2048,2048,2048
"row_sums__one_block_per_chunked_rows__write_buffer","l2_read_throughput","L2 Throughput (Reads)",159.056783GB/s,159.439248GB/s,159.201503GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","l2_write_throughput","L2 Throughput (Writes)",9.904195MB/s,9.914981MB/s,9.909266MB/s
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_write_throughput","System Memory Write Throughput",24.687500KB/s,24.714844KB/s,24.700195KB/s
"row_sums__one_block_per_chunked_rows__write_buffer","l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows__write_buffer","l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows__write_buffer","l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,170
"row_sums__one_block_per_chunked_rows__write_buffer","pcie_total_data_received","PCIe Total Data Received",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_read_bytes","System Memory Read Bytes",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","sysmem_write_bytes","System Memory Write Bytes",160,160,160
"row_sums__one_block_per_chunked_rows__write_buffer","l2_tex_hit_rate","L2 Cache Hit Rate",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","gld_transactions","Global Load Transactions",134217730,134217730,134217730
"row_sums__one_block_per_chunked_rows__write_buffer","gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"row_sums__one_block_per_chunked_rows__write_buffer","eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.454277,1.461867,1.458180
"row_sums__one_block_per_chunked_rows__write_buffer","flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.795541%,0.800380%,0.797743%
"row_sums__one_block_per_chunked_rows__write_buffer","flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","sm_efficiency","Multiprocessor Activity",99.056316%,99.498410%,99.299343%
"row_sums__one_block_per_chunked_rows","achieved_occupancy","Achieved Occupancy",0.998025,0.998464,0.998233
"row_sums__one_block_per_chunked_rows","ipc","Executed IPC",1.234938,1.240102,1.237371
"row_sums__one_block_per_chunked_rows","issued_ipc","Issued IPC",1.233856,1.240142,1.237310
"row_sums__one_block_per_chunked_rows","inst_per_warp","Instructions per warp",162866.000000,162866.000000,162866.000000
"row_sums__one_block_per_chunked_rows","branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_chunked_rows","warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_chunked_rows","warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",87.264070%,87.264070%,87.264070%
"row_sums__one_block_per_chunked_rows","inst_replay_overhead","Instruction Replay Overhead",0.000028,0.000030,0.000029
"row_sums__one_block_per_chunked_rows","issue_slot_utilization","Issue Slot Utilization",25.221605%,25.350110%,25.292216%
"row_sums__one_block_per_chunked_rows","shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.134868,0.134868,0.134868
"row_sums__one_block_per_chunked_rows","shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.225000,0.225000,0.225000
"row_sums__one_block_per_chunked_rows","local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows","local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows","gst_transactions_per_request","Global Store Transactions Per Request",0.062500,0.062500,0.062500
"row_sums__one_block_per_chunked_rows","shared_store_transactions","Shared Store Transactions",589824,589824,589824
"row_sums__one_block_per_chunked_rows","shared_load_transactions","Shared Load Transactions",671744,671744,671744
"row_sums__one_block_per_chunked_rows","local_load_transactions","Local Load Transactions",0,0,0
"row_sums__one_block_per_chunked_rows","local_store_transactions","Local Store Transactions",0,0,0
"row_sums__one_block_per_chunked_rows","gst_transactions","Global Store Transactions",16384,16384,16384
"row_sums__one_block_per_chunked_rows","dram_read_transactions","Device Memory Read Transactions",33735996,33808944,33765484
"row_sums__one_block_per_chunked_rows","dram_write_transactions","Device Memory Write Transactions",18373,30777,21978
"row_sums__one_block_per_chunked_rows","global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows","gld_requested_throughput","Requested Global Load Throughput",158.145872GB/s,158.304972GB/s,158.205527GB/s
"row_sums__one_block_per_chunked_rows","gst_requested_throughput","Requested Global Store Throughput",9.884116MB/s,9.894060MB/s,9.887844MB/s
"row_sums__one_block_per_chunked_rows","gld_throughput","Global Load Throughput",158.145872GB/s,158.304972GB/s,158.205527GB/s
"row_sums__one_block_per_chunked_rows","gst_throughput","Global Store Throughput",79.072936MB/s,79.152485MB/s,79.102762MB/s
"row_sums__one_block_per_chunked_rows","dram_read_throughput","Device Memory Read Throughput",159.038706GB/s,159.505723GB/s,159.200616GB/s
"row_sums__one_block_per_chunked_rows","dram_write_throughput","Device Memory Write Throughput",88.683217MB/s,148.600724MB/s,106.114895MB/s
"row_sums__one_block_per_chunked_rows","tex_cache_throughput","Unified Cache Throughput",158.145872GB/s,158.304972GB/s,158.205527GB/s
"row_sums__one_block_per_chunked_rows","local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows","local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows","shared_load_throughput","Shared Memory Load Throughput",12.664025GB/s,12.676765GB/s,12.668802GB/s
"row_sums__one_block_per_chunked_rows","shared_store_throughput","Shared Memory Store Throughput",11.119632GB/s,11.130818GB/s,11.123826GB/s
"row_sums__one_block_per_chunked_rows","gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_chunked_rows","gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"row_sums__one_block_per_chunked_rows","tex_cache_transactions","Unified Cache Transactions",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows","cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows","ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_chunked_rows","special_fu_utilization","Special Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"row_sums__one_block_per_chunked_rows","flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_sp","Floating Point Operations(Single Precision)",276807680,276807680,276807680
"row_sums__one_block_per_chunked_rows","flop_count_sp_add","Floating Point Operations(Single Precision Add)",276807680,276807680,276807680
"row_sums__one_block_per_chunked_rows","flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"row_sums__one_block_per_chunked_rows","flop_count_sp_special","Floating Point Operations(Single Precision Special)",32768,32768,32768
"row_sums__one_block_per_chunked_rows","inst_executed","Instructions Executed",166774784,166774784,166774784
"row_sums__one_block_per_chunked_rows","inst_issued","Instructions Issued",166779528,166780078,166779739
"row_sums__one_block_per_chunked_rows","dram_utilization","Device Memory Utilization","High (8)","High (8)","High (8)"
"row_sums__one_block_per_chunked_rows","tex_utilization","Unified Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows","shared_efficiency","Shared Memory Efficiency",83.035714%,83.035714%,83.035714%
"row_sums__one_block_per_chunked_rows","shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows","inst_fp_32","FP Instructions(Single)",276840448,276840448,276840448
"row_sums__one_block_per_chunked_rows","inst_fp_64","FP Instructions(Double)",0,0,0
"row_sums__one_block_per_chunked_rows","inst_integer","Integer Instructions",3020996608,3020996608,3020996608
"row_sums__one_block_per_chunked_rows","inst_bit_convert","Bit-Convert Instructions",65536,65536,65536
"row_sums__one_block_per_chunked_rows","inst_control","Control-Flow Instructions",872448000,872448000,872448000
"row_sums__one_block_per_chunked_rows","inst_compute_ld_st","Load/Store Instructions",377470976,377470976,377470976
"row_sums__one_block_per_chunked_rows","inst_misc","Misc Instructions",109281280,109281280,109281280
"row_sums__one_block_per_chunked_rows","inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"row_sums__one_block_per_chunked_rows","issue_slots","Issue Slots",136367601,136368050,136367764
"row_sums__one_block_per_chunked_rows","cf_issued","Issued Control-Flow Instructions",36965376,36965376,36965376
"row_sums__one_block_per_chunked_rows","cf_executed","Executed Control-Flow Instructions",36965376,36965376,36965376
"row_sums__one_block_per_chunked_rows","ldst_issued","Issued Load/Store Instructions",45893632,45893632,45893632
"row_sums__one_block_per_chunked_rows","ldst_executed","Executed Load/Store Instructions",23332864,23332864,23332864
"row_sums__one_block_per_chunked_rows","atomic_transactions","Atomic Transactions",0,0,0
"row_sums__one_block_per_chunked_rows","atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows","inst_executed_global_loads","Warp level instructions for global loads",8388608,8388608,8388608
"row_sums__one_block_per_chunked_rows","inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"row_sums__one_block_per_chunked_rows","inst_executed_shared_loads","Warp level instructions for shared loads",4980736,4980736,4980736
